country_code,yr,prevalence_hiv_female_15_to_24_year_old_percentage,prevalence_hiv_male_15_to_24_year_old_percentage,mortality_rate_adult_female_per_1000,mortality_rate_adult_male_per_1000,mortality_rate_infant_per_1000,mortality_rate_infant_female_per_1000,mortality_rate_infant_male_per_1000,number_of_stillbirths,hiv_adults_newly_infected,aids_death,percent_disease_death_rate_by_communicable_diseases,percent_disease_death_rate_by_non_communicable_diseases,hiv_children_newly_infected,community_health_workers_per_1000,health_expenditure_per_capita,prevalence_of_diabetes_20_to_79_percentage,domestic_general_government_health_expenditure_per_capita,domestic_private_health_expenditure_per_capita,hospital_beds_per_1000,immunization_dpt_percentage_of_12_to_23_months_old,immunization_hepb3_percentage_of_one_year_olds,immunization_measles_two_doses_percentage_children,immunization_pol3_percentage_of_one_year_olds,hiv_per_1000,incidence_of_malaria_per_1000,tuberculosis_per_100000,mortality_cvd_cancer_diabetes_crd_30_to_70_year_olds_percentage,mortality_cvd_cancer_diabetes_crd_30_to_70_year_olds_female_percentage,mortality_cvd_cancer_diabetes_crd_30_to_70_year_olds_male_percentage,total_undernourished,nurses_and_midwives_per_1000,physicians_per_1000,prevalence_of_anemia_children_6_to_59_months,prevalence_of_anemia_women_15_to_49_years_percentage,prevalence_of_overweight_adults_percentage,prevalence_of_overweight_children_under_5_percentage,prevalence_of_overweight_female_adults_percentage,prevalence_of_overweight_male_adults_percentage,prevalence_of_severe_wasting_children_under_5_percentage,prevalence_of_severe_wasting_female_children_under_5_percentage,prevalence_of_severe_wasting_male_children_under_5_percentage,prevalence_of_stunting_children_under_5_percentage,prevalence_of_stunting_female_children_under_5_percentage,prevalence_of_stunting_male_children_under_5_percentage,prevalence_of_syphilis_women_antenatal_care_percentage,prevalence_of_undernourishment_percentage,prevalence_of_underweight_children_under_5_percentage,prevalence_of_underweight_femlae_children_under_5_percentage,prevalence_of_underweight_male_children_under_5_percentage,prevalence_of_wasting_children_under_5_percentage,prevalence_of_wasting_female_children_under_5_percentage,prevalence_of_wasting_male_children_under_5_percentage,tuberculosis_death_rate_per_100000
CAN,2005,,,57.101,94.329,5.2,4.8,5.6,1037,,,,,,,3296.501465,,2407.617749,888.8836802,3.1,93,14,,93,,,5.5,12.7,10.1,15.2,,9.9467,,10.3,8.7,58.6,,52.8,64.4,,,,,,,,2.5,,,,,,,0.41
CAN,2006,,,55.857,91.806,5.2,4.8,5.6,1083,,,,,,,3788.090088,,2630.26466,1157.825396,3.02,95,14,,95,,,5.4,12.3,9.9,14.7,,10.0236,1.9086,10.3,8.7,59.2,,53.4,65,,,,,,,,2.5,,,,,,,0.39
CAN,2007,,,55.455,91.762,5.1,4.7,5.5,1129,,,,,,,4212.990723,,2931.78985,1281.200547,2.96,94,14,,99,,,5.3,12.2,9.8,14.7,,10.1208,,10.3,8.7,59.7,,53.9,65.5,,,,,,,,2.5,,,,,,,0.39
CAN,2008,,,55.879,89.926,5.1,4.7,5.5,1138,,,,,,,4474.974609,,3121.397021,1353.577399,2.85,92,28,,96,,,5.4,11.9,9.6,14.2,,10.289,1.959,10.3,8.7,60.2,,54.4,66,,,,,,,,2.5,,,,,,,0.4
CAN,2009,,,54.772,87.745,5,4.6,5.4,1126,,,,,,,4371.552734,,3067.904908,1303.647664,2.8,91,42,,93,,,5.3,11.5,9.3,13.8,,10.3743,,10.4,8.7,60.7,,54.9,66.5,,,,,,,,2.5,,,,,,,0.25
CAN,2010,,,52.65,85.388,5,4.6,5.3,1114,,,5.214860996,88.7360796,,,5065.915039,,3541.329499,1524.585145,2.78,89,56,,90,,,4.6,11.1,9,13.2,,9.3233,2.0384,10.4,8.7,61.2,,55.5,67,,,,,,,,2.5,,,,,,,0.27
CAN,2011,,,52.681,82.896,4.9,4.5,5.3,1116,,,,,,,5400.11377,8.4,3791.71119,1608.402703,2.8,87,70,,87,,,4.8,10.8,8.9,12.9,,9.2368,,10.5,8.8,61.7,,56,67.5,,,,,,,,2.5,,,,,,,0.29
CAN,2012,,,52.471,82.45,4.9,4.5,5.2,1110,,,,,,,5500.684082,,3874.937859,1625.746238,2.79,91,70,83,91,,,5.4,10.7,8.8,12.7,,9.3473,2.3962,10.7,8.8,62.2,,56.5,67.9,,,,,,,,2.5,,,,,,,0.27
CAN,2013,,,51.026,81.269,4.8,4.4,5.1,1107,,,,,,,5443.625,,3849.571869,1594.05316,2.72,91,55,86,91,,,5.3,10.5,8.6,12.4,,9.4788,2.4509,10.9,9,62.7,,57,68.4,,,,,,,,2.5,,,,,,,0.3
CAN,2014,,,51.45,81.528,4.7,4.4,5.1,1114,,,,,,,5189.014648,,3661.592995,1527.421614,2.67,91,55,86,91,,,5.1,10.4,8.5,12.3,,9.7475,2.4961,11.2,9.1,63.2,,57.5,68.9,,,,,,,,2.5,,,,,,,0.3
